id,entity_type,entity_id,language_code,field_name,content,is_primary,created_at,updated_at
b9eb2c41-3d0c-477c-9078-b996b7ac98c2,required_documents,RD-00002,fr,document_name,"Document original à légaliser, Pièce d'identité du demandeur",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
6e024157-7c24-4916-9a15-c74c4d69548e,required_documents,RD-00003,en,document_name,"Original document to be legalized, Applicant's ID document",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
9f5c0ef2-7d5f-48a1-9039-318a7d1e0daf,required_documents,RD-00005,fr,document_name,"Document notarié original, Pièce d'identité du demandeur, Procuration notariée si agissant en représentation",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
212e4942-c559-4797-8652-8e921965fd67,required_documents,RD-00006,en,document_name,"Original notarized document, Applicant's ID document, Notarized power of attorney if acting on behalf",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
18ee889e-24bf-41ea-a428-c8f80f6f906a,required_documents,RD-00008,fr,document_name,"Diplôme ou titre original, Pièce d'identité, Certificat d'études",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
8a60bbe7-1192-416a-8a41-a0567b986624,required_documents,RD-00009,en,document_name,"Original diploma or degree, ID document, Certificate of studies",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
9df0f942-0730-46c7-839e-cde21989adea,required_documents,RD-00011,fr,document_name,"Document commercial original, Pièce d'identité du demandeur",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
eb5da555-1a26-49ee-afec-8b5510c0f964,required_documents,RD-00012,en,document_name,"Original commercial document, Applicant's ID document",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
cf3c547d-4da1-49bb-b256-a4de52d429d1,required_documents,RD-00014,fr,document_name,"Pièce d'identité, Photographie",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
f174adb2-469e-451d-8a8a-4a0b44162ad9,required_documents,RD-00015,en,document_name,"ID document, Photograph",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
316cefb6-91e8-4b77-bd79-7cc4a73b7699,required_documents,RD-00017,fr,document_name,"Passeport actuel, Pièce d'identité",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
35b2f2c9-bad2-4eef-986a-a145300c8af6,required_documents,RD-00018,en,document_name,"Current passport, ID document",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
b90a3ce3-a831-47b6-a27f-c8a841eb671e,required_documents,RD-00020,fr,document_name,"Pièce d'identité, Justification de la nécessité",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
fd0cabd2-911a-4c19-8bd5-eeb0d3128fa9,required_documents,RD-00021,en,document_name,"ID document, Justification of need",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
9eacc59f-2f84-40eb-a054-e10b928ec5ed,required_documents,RD-00023,fr,document_name,"Document original, Pièce d'identité",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
234fcf99-833e-4c2e-8954-5302d6e2b03c,required_documents,RD-00024,en,document_name,"Original document, ID document",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
c5dbd86f-5ea5-4b48-a109-3732bb61fe64,required_documents,RD-00026,fr,document_name,"Acte notarié original, Pièce d'identité, Procuration notariée si nécessaire",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
d8ce28f1-dd8e-49c0-8137-0e8da9e15bb9,required_documents,RD-00027,en,document_name,"Original notarized document, ID document, Notarial power of attorney if applicable",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
262b34ac-8cc4-42ac-bcf9-7c8be3b4492d,required_documents,RD-00029,fr,document_name,"Diplôme ou titre original, Pièce d'identité, Certificat d'études",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
f1038862-cfc3-4314-b3a4-509f3787f52d,required_documents,RD-00030,en,document_name,"Original diploma or degree, ID document, Certificate of studies",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
d48fce07-24fa-4469-816f-43bf96f241b4,required_documents,RD-00032,fr,document_name,"Document commercial original, Pièce d'identité, Documentation commerciale complémentaire",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
c73ad6ff-ce2d-45c8-8293-1bd91b8490ec,required_documents,RD-00033,en,document_name,"Original commercial document, ID document, Additional commercial documentation",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
964131d9-9510-46a8-b6d1-40bff34efe7f,required_documents,RD-00035,fr,document_name,"Pièce d'identité, Photographie, Justificatif de paiement",False,2025-09-29T11:18:34.892417Z,2025-09-29T11:18:34.892417Z
